iso3,country,year,income_group,adult_mortality_female,adult_mortality_male,age_0_14_pct,age_15_64_pct,age_65_plus_pct,age_dependency_ratio,agriculture_pct_gdp,education_exp_pct_gdp,fdi_inflows_pct_gdp,fertility_rate,gdp_growth,gdp_per_capita_ppp,gdp_per_capita_usd,gender_parity_secondary,gini,gni_per_capita_atlas,gov_expenditure_pct_gdp,health_exp_pct_gdp,health_exp_per_capita,hospital_beds_per_1000,immunization_dpt,immunization_measles,industry_pct_gdp,infant_mortality,inflation_cpi,internet_users_pct,life_expectancy,life_expectancy_female,life_expectancy_male,literacy_adult,maternal_mortality,military_exp_pct_gdp,mobile_subs_per_100,nurses_per_1000,oop_health_exp_pct,physicians_per_1000,population_density,population_total,poverty_rate_215,primary_enroll,remittances_pct_gdp,sanitation_access,secondary_enroll,services_pct_gdp,tax_revenue_pct_gdp,tb_incidence,tertiary_enroll,trade_pct_gdp,uhc_index,under5_mortality,unemployment,urban_pop_pct,water_access,wgi_corruption_control,wgi_gov_effectiveness,wgi_political_stability,wgi_regulatory_quality,wgi_rule_of_law,wgi_voice_accountability,hale_total,covid_deaths_per_million,covid_excess_mortality_per_million,covid_fully_vaccinated_pct,covid_stringency_index,covid_tests_per_thousand,covid_new_cases_per_million,covid_icu_per_million,covid_reproduction_rate,undp_eys,undp_eys_f,undp_eys_m,undp_gnipc,undp_hdi,undp_hdi_f,undp_hdi_m,undp_hdi_rank,undp_le,undp_le_f,undp_le_m,undp_mys,undp_mys_f,undp_mys_m,log_gdp_per_capita_usd,log_gdp_per_capita_ppp,log_gni_per_capita_atlas,log_health_exp_per_capita,log_population_total,log_population_density,gdp_per_capita_ppp_growth_pct,gdp_per_capita_usd_growth_pct,health_exp_per_capita_growth_pct,population_total_growth_pct,urban_pop_pct_growth_pct,gdp_per_capita_ppp_lag1,gdp_per_capita_ppp_lag2,gdp_per_capita_ppp_lag3,gdp_per_capita_ppp_lag5,gdp_per_capita_usd_lag1,gdp_per_capita_usd_lag2,gdp_per_capita_usd_lag3,gdp_per_capita_usd_lag5,gdp_growth_lag1,gdp_growth_lag2,gdp_growth_lag3,gdp_growth_lag5,health_exp_pct_gdp_lag1,health_exp_pct_gdp_lag2,health_exp_pct_gdp_lag3,health_exp_pct_gdp_lag5,health_exp_per_capita_lag1,health_exp_per_capita_lag2,health_exp_per_capita_lag3,health_exp_per_capita_lag5,education_exp_pct_gdp_lag1,education_exp_pct_gdp_lag2,education_exp_pct_gdp_lag3,education_exp_pct_gdp_lag5,wgi_gov_effectiveness_lag1,wgi_gov_effectiveness_lag2,wgi_gov_effectiveness_lag3,wgi_gov_effectiveness_lag5,urban_pop_pct_lag1,urban_pop_pct_lag2,urban_pop_pct_lag3,urban_pop_pct_lag5,gdp_per_capita_ppp__x__wgi_gov_effectiveness,health_exp_pct_gdp__x__physicians_per_1000,education_exp_pct_gdp__x__urban_pop_pct,gdp_per_capita_ppp__x__education_exp_pct_gdp
AUS,Australia,2000,high,56.11,97.967,20.7543003723879,66.9076069682792,12.3380926593329,49.4598371499961,3.10630676229169,10.824650610712373,3.57229745403377,1.756,3.9160574881715,26584.8191965725,21908.9968019784,-1.9242805795176974,33.786904833239774,21340.0,23.9865450113958,7.58869076,1626.73388672,4.02,90.0,91.0,24.5324572225662,5.1,4.45743705920869,46.7561156116738,79.2341463414634,82.0,76.6,,7.0,1.8244056794188,44.7511458399702,10.01,20.99713898,2.476,2.47696679379873,19028802.0,0.9889314719428111,94.398,0.124329962416334,99.9911608638651,99.00240932384091,64.4043847717005,22.9835970252002,6.8,419.19071798212804,40.8631257691954,84.0,6.2,6.288,85.1071608578257,99.7122967555461,2.0594099,1.7893043,1.4286336,1.6287637,1.7962338,1.4399376,68.11233396,-1139.08496459883,-656.4158800475798,-68.83276119409283,894.6496413372574,4070.911429195541,990.7120879753634,46.28500689100639,3.1697805131108607,20.77985446,21.06683413,20.50331211,37285.52817,0.896,0.878752522,0.909065676,10.0,79.631,82.277,76.95,11.28785601,11.10312423,11.48616256,9.994698286627766,10.188133239703768,9.96838538411397,7.394944072955703,16.76146433661087,1.2461603027352917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47568.33130314972,18.78959832176,921.2552807556592,287771.37935185654
AUS,Australia,2001,high,53.636,93.793,20.5708929926844,66.9851404820125,12.4439665253031,49.286835461901,3.50187086251559,10.627960039450057,2.81762721403267,1.739,2.03145880248898,27687.7587444103,19733.6510102645,-1.8445444972362601,33.5,20370.0,26.1278789554774,7.67391729,1550.37390137,3.94,92.0,92.0,23.5866945838107,5.0,4.40712998561533,52.6892664310395,79.6341463414634,82.4,77.0,,6.0,1.86297632956383,57.4838682925396,10.5,20.43909836,2.551,2.50897530687424,19274701.0,0.9,93.85651,0.127969397578555,99.9916171040366,98.6997120936513,64.2239165646111,24.8100919346919,6.3,409.2595550073529,44.1337313971929,85.0,6.1,6.747,85.1481094164726,99.7112430397977,2.110447624454956,1.8762836359636412,1.1815870384596758,1.6228623808806386,1.7938253983526924,1.5851443360357393,68.41082197,-951.8242188833519,-508.4414030292646,-63.503698261029626,860.2181123083915,3330.1321690949553,965.2051797733709,44.42376566390732,3.05355691066774,20.9443762,21.23473189,20.66390928,38345.47319,0.9,0.877068592,0.915992816,10.0,80.016,82.607,77.388,11.34399455,11.16679806,11.53271441,9.890131304143502,10.228781788306167,9.921867599817558,7.346896205284097,16.77430401685317,1.2553240594928865,4.1487570018155395,-9.929006843058474,-4.694067417748659,1.2922463537115902,0.048114116643249716,26584.8191965725,,,,21908.9968019784,,,,3.9160574881715,,,,7.58869076,,,,1626.73388672,,,,10.824650610712373,,,,1.7893043,,,,85.1071608578257,,,,51950.08864864626,19.57616300679,904.9507043129919,294264.39351752657
AUS,Australia,2002,high,53.059,90.801,20.3665358448469,67.0808132845769,12.5526508705762,49.0739278664306,3.94425123897134,10.447655522598938,3.69701188608667,1.756,3.94980535772942,29080.0439286946,20335.0960191023,-1.844804140488737,32.616089933206084,20240.0,26.3139695255944,7.87221003,1752.93896484,3.91,92.0,94.0,23.5551713442922,4.9,2.98157117047457,55.08903548181047,79.9365853658537,82.6,77.4,,6.0,1.86803152019821,64.6581804718516,9.893,19.92001152,2.546,2.53767882014501,19495210.0,0.7748357470030474,93.85948,0.117477070111245,99.9920733442082,98.43192892235538,64.0243636867564,23.5096379102133,6.4,400.2704014388687,41.3813128146921,85.0,6.0,6.375,85.2842102783464,99.7121919885478,2.0158457,1.9223958,1.0955179,1.5665051,1.7540674,1.4514589,68.43920232,-841.0154701442525,-428.8460515072752,-58.723784650771165,831.7794696784313,3112.3535208211288,942.5071941670517,43.03728602597761,2.976858291832424,21.10889795,21.40262964,20.82450644,39035.72807,0.902,0.879455241,0.917702586,10.0,80.064,82.54,77.546,11.40013309,11.2304719,11.57926626,9.920152715049792,10.277841829513937,9.915465529295535,7.469619374629981,16.785679403628286,1.2634708115560684,5.02852252194439,3.0478141552465754,13.065562009977171,1.1440333108150513,0.15984014537318014,27687.7587444103,26584.8191965725,,,19733.6510102645,21908.9968019784,,,2.03145880248898,3.9160574881715,,,7.67391729,7.58869076,,,1550.37390137,1626.73388672,,,10.627960039450057,10.824650610712373,,,1.8762836359636412,1.7893043,,,85.1481094164726,85.1071608578257,,,55903.354312338,20.042646736379996,891.0200505050548,303818.2815490458
AUS,Australia,2003,high,50.706,89.052,20.1584054697368,67.1841800691336,12.6574144611296,48.8445617344122,2.88733584935682,10.259123864613237,1.9178050221833,1.748,3.0912800997751,30167.241365541,23757.5898471684,-1.7332178599442596,33.5,21420.0,25.6619478795292,7.87659502,2227.12768555,3.95,93.0,94.0,23.9917259622795,4.9,2.73259754838937,57.89843419164524,80.2390243902439,82.8,77.8,,5.0,1.84253577993579,72.3884724574148,9.888,19.14758873,2.615,2.5670355232157,19720737.0,1.1,94.8527,0.13907113149848,99.9925295843797,98.16234033834635,64.3356156550363,24.2596128506148,5.9,376.29294823407713,40.1348011794482,86.0,5.9,5.933,85.4097077818668,99.7343601568019,2.0294771,1.9394757,0.9329389,1.7471457,1.8156705,1.4561055,68.6804291,-806.2363929132462,-455.1975392633203,-53.83411552594049,805.261384316997,3359.7662635166416,919.4673631126748,41.72178530164922,2.9274943513626335,21.2734197,21.57052739,20.98510361,40207.24974,0.906,0.883669377,0.921690892,10.0,80.455,82.919,77.95,11.45627163,11.29414573,11.62581811,10.07569942184866,10.314545039620223,9.972127028252816,7.7089169088978675,16.797181330373597,1.2717348651765346,3.738637532708866,16.830477834238366,27.05106853239936,1.1568328835647401,0.1471520966317419,29080.0439286946,27687.7587444103,26584.8191965725,,20335.0960191023,19733.6510102645,21908.9968019784,,3.94980535772942,2.03145880248898,3.9160574881715,,7.87221003,7.67391729,7.58869076,,1752.93896484,1550.37390137,1626.73388672,,10.447655522598938,10.627960039450057,10.824650610712373,,1.9223958,1.8762836359636412,1.7893043,,85.2842102783464,85.1481094164726,85.1071608578257,,58508.631564501586,20.5972959773,876.2287713745926,309489.46582276927
AUS,Australia,2004,high,49.508,86.332,19.9570257953475,67.2722217253263,12.7707524793261,48.6497650677502,3.05821916621123,10.074879157165764,6.96956991636737,1.768,4.21894147547516,31814.504982852,30886.0500949401,-1.677652943384281,33.1,25890.0,25.5648080640484,8.08257675,2744.08105469,3.97,92.0,94.0,23.8819093880673,4.8,2.34325687131265,60.1989390038851,80.490243902439,83.0,78.1,,5.0,1.82208057125111,82.208138535878,10.15,19.21869659,2.692,2.5946294729443,19932722.0,0.7,95.2255,0.133962220621157,99.9929858245512,97.91563794786606,64.3168864121386,24.2195290194588,6.6,357.75236778401336,36.9505159618289,86.0,5.8,5.399,85.518767609412,99.7563424952725,1.7734224,1.7890482,0.9065585,1.8799852,1.7278127,1.4002296,68.80197201,-890.6423256047383,-517.7861535494189,-49.235856041466775,784.6994019683034,4391.879459218126,898.1380819292444,41.206661261896414,2.9302722288224485,21.43794145,21.73842515,21.14570077,40642.13043,0.908,0.885411024,0.924780472,10.0,80.751,83.18,78.274,11.51241016,11.35781956,11.67236996,10.338092284264116,10.367709028017808,10.161650696951378,7.917565881627903,16.80787331105489,1.2794409185299975,5.46043835215444,30.004980697237336,23.211662828947134,1.074934471262412,0.12769020100587003,30167.241365541,29080.0439286946,27687.7587444103,,23757.5898471684,20335.0960191023,19733.6510102645,,3.0912800997751,3.94980535772942,2.03145880248898,,7.87659502,7.87221003,7.67391729,,2227.12768555,1752.93896484,1550.37390137,,10.259123864613237,10.447655522598938,10.627960039450057,,1.9394757,1.9223958,1.8762836359636412,,85.4097077818668,85.2842102783464,85.1481094164726,,56917.6828734624,21.758296611,861.5912493345676,320527.2931472819
AUS,Australia,2005,high,47.595,85.447,19.7637363639096,67.351268743388,12.8849948927024,48.4752997933678,2.88921493532413,9.86910937192033,-3.60113772652235,1.807,3.15548121323168,33089.7023501837,34535.20727091,-1.471540811951641,33.568655124188595,30790.0,25.513469194006,7.9648633,2995.87255859,3.88,92.0,94.0,24.5233189129708,4.8,2.69182949622197,63.0,80.8414634146341,83.3,78.5,,5.0,1.79628773763805,90.7635520774358,9.707,19.64301491,2.764,2.62640667508428,20176844.0,0.6932945047391375,95.50656,0.13495870556951,99.9934420647228,97.62552413172443,64.4367967376177,24.7148112586711,6.3,336.13769686807154,39.0978822564811,86.0,5.7,5.036,85.6190871221958,99.7781476301651,1.7797873,1.8033736,0.9817812,1.8022988,1.7177321,1.5657751,68.84537312,-930.3719531750758,-494.01225268423514,-43.9421944341554,757.0364748901761,4850.862093452666,873.2932812685931,40.18585989001289,2.888478225330358,21.60246319,21.9063229,21.30629794,41168.0418,0.911,0.888919475,0.927327032,10.0,81.113,83.49,78.684,11.54751968,11.4115696,11.6888504,10.44976353880724,10.407007626141707,10.334977718468442,8.005324543419542,16.820046217753134,1.2882422613344806,4.0082263358145465,11.814904025451046,9.17580417202526,1.2247298688056851,0.1173070141071042,31814.504982852,30167.241365541,29080.0439286946,26584.8191965725,30886.0500949401,23757.5898471684,20335.0960191023,21908.9968019784,4.21894147547516,3.0912800997751,3.94980535772942,3.9160574881715,8.08257675,7.87659502,7.87221003,7.58869076,2744.08105469,2227.12768555,1752.93896484,1626.73388672,10.074879157165764,10.259123864613237,10.447655522598938,10.824650610712373,1.7890482,1.9394757,1.9223958,1.7893043,85.518767609412,85.4097077818668,85.2842102783464,85.1071608578257,59673.095650179246,22.0148821612,844.9841351329259,326565.8915782522
AUS,Australia,2006,high,48.235,82.945,19.5900966168501,67.4173909650197,12.9925124181303,48.3296763998251,2.74011319183189,9.6412115484083,4.0750646338694,1.908,2.7709261737475,34890.2248136693,36658.8243476122,-1.3402224689123141,32.917989192926115,34670.0,24.8562631515346,7.97161102,3174.86865234,3.9,92.0,94.0,25.4872372064967,4.7,3.55528696972984,66.0,81.0414634146342,83.5,78.7,,5.0,1.8177309027711,95.9663115508423,10.160967735236573,19.74941826,2.825,2.66208895773401,20450966.0,0.4364301285750205,95.63832,0.135364833985169,99.9938983048943,97.29640708693466,63.8069766675422,24.4695693337421,6.9,318.94880864896254,41.4878923489153,86.0,5.6,4.785,85.7492544263523,99.7997730308655,1.7469891,1.7583757,1.0119464,1.8169421,1.7375788,1.5672518,68.98833593,-883.1656545637952,-373.4276009338837,-37.998752100129934,724.0073453949376,5006.141380755787,845.2617923356001,39.003790719618564,2.819253343532359,21.76698494,22.07422066,21.4668951,41858.09781,0.914,0.893031934,0.929325059,10.0,81.282,83.593,78.921,11.6446104,11.55757999,11.73491955,10.509436729991387,10.45999063857094,10.453658881643552,8.06333646519571,16.833540725398702,1.2980337380746951,5.441337744386221,6.149136618881634,5.974756610950238,1.3585970134873504,0.15203070779150618,33089.7023501837,31814.504982852,30167.241365541,27687.7587444103,34535.20727091,30886.0500949401,23757.5898471684,19733.6510102645,3.15548121323168,4.21894147547516,3.0912800997751,2.03145880248898,7.9648633,8.08257675,7.87659502,7.67391729,2995.87255859,2744.08105469,2227.12768555,1550.37390137,9.86910937192033,10.074879157165764,10.259123864613237,10.627960039450057,1.8033736,1.7890482,1.9394757,1.8762836359636412,85.6190871221958,85.518767609412,85.4097077818668,85.1481094164726,61350.123479893125,22.519801131500003,826.7267020427493,336384.0384001103
AUS,Australia,2007,high,48.119,84.719,19.4443965232656,67.468039218311,13.0875642584234,48.2183232721235,2.21281034154067,9.327566424488428,5.18803286061474,1.959,3.78947119882653,36708.1660067256,41128.2476618402,-1.1714607728639415,32.972243699407585,37470.0,24.401497265035,8.0517149,3792.80981445,3.90167350233813,92.0,94.0,25.5716480180669,4.5,2.32761442623159,69.45,81.2926829268293,83.7,79.0,,5.0,1.81127596229823,101.457683484383,10.14,19.00255966,2.99,2.71111802454994,20827622.0,0.595387099405329,96.41764,0.156647908424764,99.9943545450659,96.84494086111094,64.3888123066094,23.9945520669883,6.5,290.56916775262016,41.9297451276561,87.0,5.4,4.381,85.8968519574969,99.8212480845919,1.8662259,1.7472507,1.0920694,1.8241496,1.7300515,1.5924951,69.21970369,-863.6402254678851,-398.2940095465683,-29.83269050404823,678.9554540524509,5279.5730426422415,806.7321398026093,36.72775028630852,2.7281876954563247,21.93150669,22.24211841,21.62749227,42760.18162,0.916,0.894881988,0.931063391,10.0,81.26,83.553,78.937,11.7118597,11.6340704,11.79203987,10.624474769344074,10.510781757810737,10.531322579448695,8.241126021260124,16.851790692467347,1.3113331855473787,5.2104599576671795,12.191943941920535,19.463518960211257,1.8417516316833193,0.17212689734973363,34890.2248136693,33089.7023501837,31814.504982852,29080.0439286946,36658.8243476122,34535.20727091,30886.0500949401,20335.0960191023,2.7709261737475,3.15548121323168,4.21894147547516,3.94980535772942,7.97161102,7.9648633,8.08257675,7.87221003,3174.86865234,2995.87255859,2744.08105469,1752.93896484,9.6412115484083,9.86910937192033,10.074879157165764,10.447655522598938,1.7583757,1.8033736,1.7890482,1.9223958,85.7492544263523,85.6190871221958,85.518767609412,85.2842102783464,64138.36875096751,24.074627551000003,801.2085922880012,342397.85674888117
AUS,Australia,2008,high,46.643,82.004,19.3123413517601,67.5103706198825,13.1772880283573,48.1253903251165,2.35417910776003,8.971494277224298,4.26757732505596,1.984,3.62398503565633,37616.0112400482,49811.2067218988,-0.8483105619936353,35.4,42510.0,24.2688866370392,8.24737453,4083.42944336,3.8,92.0,94.0,25.5090768525458,4.4,4.35029726664093,71.67,81.3951219512195,83.7,79.2,,5.0,1.79619704962465,103.506740034166,10.24,19.04162598,3.0,2.76599442875181,21249199.0,0.5,96.53968,0.144175698328765,99.9948107852374,96.34529880857998,64.5204265131048,24.1542735049965,6.9,264.0651310932667,42.7522207880308,87.0,5.2,4.242,86.0253816967666,99.8425531204552,1.9874065,1.734412,1.108084,1.8514548,1.7172336,1.5921015,69.19393995,-1012.8778032044947,-661.9740048543113,-20.691840056791364,631.6659355821939,6159.371327197368,763.8034344945404,33.912923774020555,2.66194808769537,22.09602843,22.41001617,21.78808943,42962.35043,0.92,0.898426413,0.934803782,10.0,81.459,83.722,79.171,11.9376297,11.90552044,11.97099972,10.816015347874561,10.535211653660959,10.657518144952888,8.314937326391076,16.87182980556721,1.326011950879594,2.4731424423553916,21.111911043355413,7.662383381386162,2.0241245015873544,0.14963265398049153,36708.1660067256,34890.2248136693,33089.7023501837,30167.241365541,41128.2476618402,36658.8243476122,34535.20727091,23757.5898471684,3.78947119882653,2.7709261737475,3.15548121323168,3.0912800997751,8.0517149,7.97161102,7.9648633,7.87659502,3792.80981445,3174.86865234,2995.87255859,2227.12768555,9.327566424488428,9.6412115484083,9.86910937192033,10.259123864613237,1.7472507,1.7583757,1.8033736,1.9394757,85.8968519574969,85.7492544263523,85.6190871221958,85.4097077818668,65241.661286874485,24.74212359,771.7762195885774,337471.82957209734
AUS,Australia,2009,high,47.91,81.768,19.1851461673503,67.4999498462357,13.314903986414,48.1482571709664,2.31423570641201,8.619232527514782,3.10519028312049,1.971,1.95484826298522,40434.4890899118,42954.8494884573,-0.7535206410140489,30.970037363671366,44230.0,26.3814336455909,8.54273987,3989.44116211,3.76,92.0,94.0,26.9775545923991,4.2,1.77112025681656,74.25,81.5439024390244,83.9,79.3,,5.0,1.92365517034008,101.914285403427,10.73,19.05284309,3.104,2.8235883784804,21691653.0,0.04490449588917933,96.68084,0.143239303274217,99.9952670254089,95.79852933511724,64.0980944516659,21.9501151705037,7.2,261.2577507943238,45.5936120867789,87.0,5.0,5.565,86.1278139101818,99.8636787110095,1.9724107,1.65062,0.9940821,1.7676719,1.6974856,1.5932554,69.49159575,-745.8279236552808,-234.28623396536113,-11.102857315089068,568.6664532433524,4635.646315485079,717.869128206476,30.96493249181836,2.4407934938542626,22.26055018,22.57791392,21.9486866,42906.86571,0.922,0.901544656,0.93621233,10.0,81.766,84.027,79.48,11.98707962,11.96805954,12.00765991,10.667928111118195,10.607463121163752,10.697181179695644,8.291657070716697,16.892438136235018,1.3411893477846069,7.492761079523724,-13.764688078570874,-2.3016996510820786,2.08221495784382,0.11907208244221756,37616.0112400482,36708.1660067256,34890.2248136693,31814.504982852,49811.2067218988,41128.2476618402,36658.8243476122,30886.0500949401,3.62398503565633,3.78947119882653,2.7709261737475,4.21894147547516,8.24737453,8.0517149,7.97161102,8.08257675,4083.42944336,3792.80981445,3174.86865234,2744.08105469,8.971494277224298,9.327566424488428,9.6412115484083,10.074879157165764,1.734412,1.7472507,1.7583757,1.7890482,86.0253816967666,85.8968519574969,85.7492544263523,85.518767609412,66741.97638159023,26.516664556480002,742.3556551783792,348514.2635972094
